Label Number,Duration,Importance,Start Time,Date
3,75,1,6:30,22/06/2023
5,90,2,8:15,22/06/2023
0,30,0,10:00,22/06/2023
1,30,1,10:45,22/06/2023
6,15,0,11:30,22/06/2023
2,60,2,11:55,22/06/2023
4,75,3,13:00,22/06/2023
1,60,1,14:30,22/06/2023
3,45,1,15:40,22/06/2023
5,120,3,16:35,22/06/2023
0,45,2,18:35,22/06/2023
2,90,1,19:30,22/06/2023
6,45,0,21:00,22/06/2023
4,60,2,21:45,22/06/2023
1,30,1,22:55,22/06/2023
5,90,2,6:15,23/06/2023
2,60,1,7:45,23/06/2023
4,75,3,8:50,23/06/2023
3,30,0,10:05,23/06/2023
0,45,1,10:35,23/06/2023
1,30,1,11:20,23/06/2023
6,30,0,11:50,23/06/2023
5,60,2,12:30,23/06/2023
2,75,1,13:45,23/06/2023
4,90,2,15:15,23/06/2023
3,45,1,16:45,23/06/2023
5,90,2,18:00,23/06/2023
0,30,0,19:30,23/06/2023
1,60,1,20:15,23/06/2023
6,45,0,21:15,23/06/2023
4,60,2,22:00,23/06/2023
1,30,1,6:30,24/06/2023
3,75,1,7:15,24/06/2023
5,90,2,9:00,24/06/2023
0,45,1,10:45,24/06/2023
2,90,1,11:30,24/06/2023
4,60,2,13:15,24/06/2023
1,30,1,14:15,24/06/2023
6,45,0,14:45,24/06/2023
3,45,1,15:30,24/06/2023
5,120,3,16:30,24/06/2023
2,75,1,18:30,24/06/2023
4,90,2,19:45,24/06/2023
1,30,1,21:15,24/06/2023
6,30,0,22:00,24/06/2023
0,60,2,22:30,24/06/2023
2,90,1,6:15,25/06/2023
4,75,3,8:00,25/06/2023
1,30,1,9:15,25/06/2023
6,45,0,10:00,25/06/2023
3,45,1,10:45,25/06/2023
5,90,2,11:30,25/06/2023
0,45,1,13:15,25/06/2023
2,75,1,14:00,25/06/2023
4,90,2,15:15,25/06/2023
1,30,1,16:45,25/06/2023
6,30,0,17:30,25/06/2023
3,75,1,18:00,25/06/2023
5,90,2,19:45,25/06/2023
0,45,1,21:30,25/06/2023
2,90,1,22:15,25/06/2023
4,60,2,6:15,26/06/2023
1,30,1,7:15,26/06/2023
6,45,0,7:45,26/06/2023
3,45,1,8:30,26/06/2023
5,120,3,9:30,26/06/2023
2,75,1,11:30,26/06/2023
