0,1
do sports,Physical Activity
doing sports,Physical Activity
training,Physical Activity
to train,Physical Activity
sport,Physical Activity
running,Physical Activity
golf,Physical Activity
cooking,Physical Activity
walking,Physical Activity
go for a walk,Physical Activity
climbing,Physical Activity
stretching,Physical Activity
yoga,Physical Activity
football,Physical Activity
basketball,Physical Activity
baseball,Physical Activity
soccer,Physical Activity
tennis,Physical Activity
volleyball,Physical Activity
hockey,Physical Activity
rugby,Physical Activity
cricket,Physical Activity
boxing,Physical Activity
wrestling,Physical Activity
mma,Physical Activity
judo,Physical Activity
karate,Physical Activity
taekwondo,Physical Activity
muay thai,Physical Activity
kickboxing,Physical Activity
swimming,Physical Activity
cycling,Physical Activity
gymnastics,Physical Activity
skiing,Physical Activity
snowboarding,Physical Activity
surfing,Physical Activity
skateboarding,Physical Activity
rock climbing,Physical Activity
parkour,Physical Activity
pilates,Physical Activity
zumba,Physical Activity
crossfit,Physical Activity
aerobics,Physical Activity
dance,Physical Activity
hiking,Physical Activity
camping,Physical Activity
kayaking,Physical Activity
canoeing,Physical Activity
fishing,Physical Activity
archery,Physical Activity
fencing,Physical Activity
horseback riding,Physical Activity
sailing,Physical Activity
rowing,Physical Activity
scuba diving,Physical Activity
snorkeling,Physical Activity
water polo,Physical Activity
ultimate frisbee,Physical Activity
lacrosse,Physical Activity
table tennis,Physical Activity
play football,Physical Activity
football training,Physical Activity
football match,Physical Activity
play basketball,Physical Activity
basketball training,Physical Activity
basketball game,Physical Activity
play baseball,Physical Activity
baseball training,Physical Activity
baseball game,Physical Activity
play soccer,Physical Activity
soccer training,Physical Activity
soccer match,Physical Activity
play tennis,Physical Activity
tennis training,Physical Activity
tennis game,Physical Activity
play golf,Physical Activity
golf training,Physical Activity
golf tournament,Physical Activity
play volleyball,Physical Activity
volleyball training,Physical Activity
volleyball match,Physical Activity
play hockey,Physical Activity
hockey training,Physical Activity
hockey game,Physical Activity
play rugby,Physical Activity
rugby training,Physical Activity
rugby match,Physical Activity
boxing match,Physical Activity
boxing training,Physical Activity
wrestling match,Physical Activity
wrestling training,Physical Activity
mma fight,Physical Activity
mma training,Physical Activity
judo training,Physical Activity
judo competition,Physical Activity
karate training,Physical Activity
karate tournament,Physical Activity
taekwondo training,Physical Activity
taekwondo competition,Physical Activity
muay thai training,Physical Activity
muay thai fight,Physical Activity
kickboxing training,Physical Activity
kickboxing match,Physical Activity
swimming training,Physical Activity
swimming competition,Physical Activity
running training,Physical Activity
running race,Physical Activity
cycling training,Physical Activity
cycling race,Physical Activity
gymnastics training,Physical Activity
track and field,Physical Activity
ice skating,Physical Activity
figure skating,Physical Activity
curling,Physical Activity
paintball,Physical Activity
airsoft,Physical Activity
mountaineering,Physical Activity
bungee jumping,Physical Activity
skydiving,Physical Activity
doing basketball training,Physical Activity
baseball match,Physical Activity
soccer game,Physical Activity
tennis match,Physical Activity
cricket game,Physical Activity
track and field match,Physical Activity
crossfit training,Physical Activity
karate match,Physical Activity
taekwondo match,Physical Activity
gymnastics match,Physical Activity
skiing training,Physical Activity
snowboarding game,Physical Activity
skateboarding training,Physical Activity
surfing game,Physical Activity
cycling match,Physical Activity
hiking game,Physical Activity
yoga training,Physical Activity
pilates class,Physical Activity
zumba session,Physical Activity
aerobics class,Physical Activity
dance competition,Physical Activity
ice skating training,Physical Activity
figure skating competition,Physical Activity
curling match,Physical Activity
sailing race,Physical Activity
rowing training,Physical Activity
canoeing game,Physical Activity
kayaking race,Physical Activity
horseback riding lesson,Physical Activity
archery match,Physical Activity
fencing competition,Physical Activity
paintball game,Physical Activity
airsoft match,Physical Activity
rock climbing training,Physical Activity
mountaineering expedition,Physical Activity
bungee jumping experience,Physical Activity
skydiving adventure,Physical Activity
scuba diving lesson,Physical Activity
cheerleading,Physical Activity
bodybuilding,Physical Activity
badminton,Physical Activity
rafting,Physical Activity
paragliding,Physical Activity
volleyball game,Physical Activity
swimming practice,Physical Activity
taekwondo sparring,Physical Activity
cheerleading competition,Physical Activity
surfing lesson,Physical Activity
skateboarding session,Physical Activity
snowboarding trip,Physical Activity
skiing lesson,Physical Activity
rowing practice,Physical Activity
track and field meet,Physical Activity
crossfit workout,Physical Activity
yoga retreat,Physical Activity
zumba class,Physical Activity
kickboxing session,Physical Activity
bodybuilding competition,Physical Activity
parkour training,Physical Activity
lacrosse game,Physical Activity
cricket match,Physical Activity
badminton match,Physical Activity
table tennis tournament,Physical Activity
archery practice,Physical Activity
fishing trip,Physical Activity
hiking adventure,Physical Activity
camping trip,Physical Activity
kayaking lesson,Physical Activity
rafting excursion,Physical Activity
scuba diving trip,Physical Activity
paragliding experience,Physical Activity
rock climbing lesson,Physical Activity
ice hockey,Physical Activity
squash,Physical Activity
racquetball,Physical Activity
bouldering,Physical Activity
hunting,Physical Activity
windsurfing,Physical Activity
golf game,Physical Activity
running match,Physical Activity
ice hockey game,Physical Activity
skateboarding park session,Physical Activity
snowboarding training camp,Physical Activity
skiing vacation,Physical Activity
judo training camp,Physical Activity
taekwondo sparring match,Physical Activity
kickboxing training session,Physical Activity
cheerleading practice,Physical Activity
parkour course,Physical Activity
ultimate frisbee game,Physical Activity
lacrosse match,Physical Activity
cricket tournament,Physical Activity
badminton game,Physical Activity
table tennis match,Physical Activity
squash training,Physical Activity
racquetball game,Physical Activity
archery lesson,Physical Activity
bouldering training,Physical Activity
hiking trip,Physical Activity
camping adventure,Physical Activity
hunting expedition,Physical Activity
kayaking excursion,Physical Activity
canoeing trip,Physical Activity
rowing competition,Physical Activity
windsurfing lesson,Physical Activity
billiards,Physical Activity
darts,Physical Activity
cornhole,Physical Activity
bocce ball,Physical Activity
croquet,Physical Activity
handball,Physical Activity
playing football,Physical Activity
playing basketball,Physical Activity
playing baseball,Physical Activity
playing soccer,Physical Activity
playing hockey,Physical Activity
hockey match,Physical Activity
playing tennis,Physical Activity
playing golf,Physical Activity
playing volleyball,Physical Activity
playing rugby,Physical Activity
playing lacrosse,Physical Activity
lacrosse training,Physical Activity
swimming match,Physical Activity
cycling game,Physical Activity
judo match,Physical Activity
yoga practice,Physical Activity
biking,Physical Activity
